854.37,857,0.012226
856.9,857,0.012228
856.9,857,0.012224
856.9,857,0.01222
857,857.87,0.012221
857.24,858.15,0.01222
857.96,859.11,0.01222
857.66,858.8,0.01222
857.28,858.8,0.012219
857.32,859,0.012219
856.9,859,0.012219
856.92,859,0.012219
857.9,859,0.01222
859.05,859.2,0.012219
860.62,861.41,0.012237
860.62,860.84,0.012241
860.5,860.84,0.012243
860.11,860.5,0.012244
859.21,860.08,0.012241
856.85,858.48,0.012238
854.92,855.63,0.012238
854.84,856.51,0.012242
855.19,856.7,0.012243
856,858.4,0.012243
855.87,858.4,0.012244
856.74,858.4,0.012244
856.84,858.4,0.012244
856.74,858.4,0.012241
856.45,858.4,0.012242
855.63,858.09,0.012243
855.61,857.56,0.012244
854.42,855.86,0.012245
855.43,855.87,0.012297
855.88,856.4,0.012295
855.92,857,0.012292
855.59,856.28,0.012291
855.55,856.79,0.012292
855.43,857,0.012293
855.06,855.83,0.012292
854.8,856.09,0.01228
854.8,857,0.012281
855.07,857,0.012282
855.8,857,0.012282
855.8,857,0.012282
855.2,857,0.012283
854.8,857,0.012282
854.8,857.18,0.012283
854.89,858,0.012294
855.27,858,0.012292
856,858.11,0.012295
855.45,856.9,0.012295
855.3,856.59,0.012295
856,858.25,0.012295
855.81,856.55,0.012298
855.08,856,0.012299
857.8,858.73,0.012299
860.61,861.54,0.012318
860.27,861.94,0.012323
860.13,863.61,0.012349
861.4,863.49,0.01235
863.76,864.71,0.012378
865.27,865.89,0.012383
868.21,868.57,0.012412
868.59,868.85,0.012487
868.34,868.79,0.012503
867.44,868.78,0.012512
866.53,867.47,0.012528
865.1,865.59,0.01253
865.24,868.56,0.012528
868.98,869.95,0.012567
868,869.79,0.012565
868.61,869.53,0.012571
865.37,868.9,0.012572
865.79,866.71,0.012569
866.99,868.36,0.012577
866.99,868.83,0.012572
867.21,868.42,0.01257
867.06,867.91,0.012569
866.72,867.65,0.012576
866.4,867.64,0.012574
866.74,867.8,0.012573
865.64,867.35,0.012574
866.72,867.65,0.012574
865.5,866.87,0.012581
865.57,865.9,0.012589
865.8,866.99,0.012591
865.8,866.99,0.012593
865.8,866.99,0.012595
865.8,866.99,0.012596
865.77,866.77,0.012596
866.86,867.76,0.012598
864.56,866.09,0.012605
861.27,862.91,0.012612
862.16,863.31,0.012647
861.99,863.85,0.012668
862.25,864.16,0.012662
863.25,863.89,0.012662
863.01,864.63,0.012663
861.23,863.68,0.012662
861.42,863.29,0.01266
862.99,863,0.012662
861.59,863,0.012662
862.38,863.53,0.012664
862.47,863,0.012689
862.1,862.95,0.012688
861.99,862,0.012689
861.99,862.64,0.012692
862.1,862.35,0.012691
863.28,863.39,0.012692
863.17,864.27,0.012692
862.81,864.27,0.012698
863.02,864.02,0.012697
863,863.01,0.012698
862.79,862.98,0.012694
862.61,862.69,0.012694
862.57,862.85,0.012699
862.01,862.6,0.012704
861.98,862.6,0.012706
861.69,862.31,0.012707
861.7,862.01,0.012707
861.69,862.06,0.012708
861.69,862.6,0.012708
861.45,862.6,0.012708
861.7,862.6,0.012721
860.94,861.62,0.012763
861.15,862,0.012766
861.01,861.77,0.012764
860.59,861.05,0.012759
859.14,859.53,0.012771
858.26,859.17,0.012783
858.31,859.28,0.012785
856.68,856.73,0.01279
856.68,856.72,0.012795
857.04,857.19,0.012796
857.92,860.32,0.012838
861.06,864.67,0.012885
860.63,864.67,0.012903
860.65,862.16,0.012902
860.6,860.65,0.012901
860.42,860.68,0.012899
859.79,860.64,0.012899
857.4,858.84,0.0129
857.12,858.84,0.012902
857.82,860.25,0.012902
859,860.16,0.012893
859,859.25,0.012893
858.01,859.61,0.012898
857.01,860.25,0.012902
857.02,859.33,0.0129
857.01,858.96,0.012901
858.11,862.75,0.012922
857.86,858.04,0.012925
857.08,857.73,0.012928
856.99,857.03,0.012927
856.81,856.9,0.012927
856.7,856.93,0.012933
856.7,856.7,0.012944
856.7,856.7,0.012943
856.66,856.7,0.012942
854.25,854.76,0.012982
853.22,853.76,0.012994
853.18,854.48,0.012994
852.57,852.88,0.012999
852.69,855.72,0.013004
851.86,852.99,0.013027
852.38,853,0.013034
851.6,852.5,0.013035
851.44,852.13,0.01304
852.05,853,0.013041
855.66,856.01,0.013038
858.51,859.59,0.013044
861.49,861.63,0.013053
862.02,862.19,0.013053
862.77,862.95,0.013057
863.21,863.6,0.013068
860.8,861.41,0.013086
858.01,860.27,0.013082
858.18,860.66,0.013083
857.99,860.56,0.013082
858,860,0.013081
858,860,0.01308
858,860,0.013081
858.82,859.91,0.013082
858,859,0.013082
858.08,859.98,0.013082
858.1,859.99,0.013082
858.24,859.67,0.013082
857.95,858.11,0.013079
858.56,859.83,0.01308
859.18,860.06,0.013085
859.37,860.69,0.013085
859.89,860.71,0.013087
858.69,860.53,0.013088
858.23,858.68,0.013092
857.79,858.36,0.013091
857.23,858.5,0.01309
857.23,858.5,0.01309
858.38,858.86,0.013091
858.52,860.47,0.013096
858.5,860.07,0.013096
857.13,859.45,0.013097
856.56,859.04,0.013101
857.49,858.5,0.013092
856.38,858.22,0.013091
856.28,856.64,0.013091
856,856.1,0.013092
855.78,856.05,0.013092
855.57,856,0.013094
855.57,856,0.013094
855.57,855.96,0.013098
855.5,855.57,0.013107
855.21,855.52,0.013106
855.39,855.55,0.013111
855.5,855.57,0.013112
855.5,855.57,0.013104
855.57,855.57,0.013101
855.51,855.57,0.013096
855.5,855.57,0.013097
854.15,855.52,0.013096
852.96,855.31,0.013098
853.45,855.43,0.013098
855.47,855.5,0.013098
